Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
M.Fernandes,Southampton,Midfielder,5.0,0.0,3.15,2.56,5.71,54,1.7,10.8,57.61,3.33,11.96
O'Brien-Whitmarsh,Southampton,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Welington,Southampton,Defender,4.0,0.0,0.0,0.14,0.14,1,0.3,0.25,37.5,3.33,0.81
Kayi Sanda,Southampton,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Grønbæk,Southampton,Midfielder,5.0,0.0,0.12,0.0,0.12,2,0.7,0.4,24.15,3.33,1.58
Solanke,Spurs,Forward,7.3,4.5,8.43,1.08,9.51,83,0.0,11.37,1.0,2.67,2.59
A.Phillips,Spurs,Defender,4.0,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Austin,Spurs,Goalkeeper,4.0,0.5,0.0,0.0,0.0,1,0.0,0.25,1.0,2.67,0.0
Bentancur,Spurs,Midfielder,4.9,0.1,0.88,0.71,1.5899999999999999,35,2.7,7.14,72.67,2.67,7.08
Bergvall,Spurs,Midfielder,4.4,1.1,0.4,0.52,0.92,26,3.0,5.91,76.15,2.67,3.51
Bissouma,Spurs,Midfielder,4.8,0.2,0.48,0.46,0.94,42,1.3,8.75,32.22,2.67,3.34
Bryan,Spurs,Midfielder,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Davies,Spurs,Defender,4.3,0.2,0.16,0.21,0.37,23,4.0,5.35,109.57,2.67,7.13
Devine,Spurs,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Dragusin,Spurs,Defender,4.3,0.2,0.13,0.16,0.29000000000000004,24,0.3,5.58,15.62,2.67,0.86
E.Royal,Spurs,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Forster,Spurs,Goalkeeper,4.3,0.4,0.0,0.0,0.0,19,0.0,4.42,1.0,2.67,0.0
Gray,Spurs,Midfielder,4.6,0.2,0.03,0.09,0.12,28,2.0,6.09,69.64,2.67,3.48
